IDLattes,DuracaoDoutorado,Genero,GrandesAreas,ExclusividadeDoutorado,Publicacoes,IdadeAcademica,ListaFiliacoes,UltimaFiliacao,HistoricoFiliacaoemIESInternacional,UltimaFiliacaoInter,UltimaFiliacaoBR
3378925060630181,4,,CIENCIAS AGRARIAS,1,8,6,{I} AGRONOMICO DE CAMPINAS; CENTRO REGIONAL UNIVERSITARIO DE ESPIRITO SANTO DO PINHAL; {UE} DE CAMPINAS,{UE} DE CAMPINAS,0,0,5359
3378966283098228,4,0,CIENCIAS BIOLOGICAS; CIENCIAS AGRARIAS; ENGENHARIAS,0,6,34,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA; {U} NEBRASKA ADMINISTRATION; AGRICULTURAL RESEARCH SERVICE,{U} NEBRASKA ADMINISTRATION; AGRICULTURAL RESEARCH SERVICE,0,0,
3378974052397489,4,0,CIENCIAS SOCIAIS APLICADAS,0,16,6,JUSTICA FEDERAL DE O GRAU NO ESTADO DE MINAS GERAIS; JUSTICA FEDERAL DE O GRAU DO DISTRITO FEDERAL; MINISTERIO PUBLICO DO DISTRITO FEDERAL E TERRITORIOS; ORDEM DOS ADVOGADOS DO BRASIL DE BRASILIA; {U} DE BRASILIA; JUSTICA FEDERAL DE O GRAU NO ESTADO DE PIAUI; TRIBUNAL DE JUSTICA DO DISTRITO FEDERAL; PROCURADORIA DO DISTRITO FEDERAL; {E} DA MAGISTRATURA FEDERAL DA A REGIAO DA SECAO JUDICIARIA DE MG; TRIBUNAL REGIONAL FEDERAL DA A REGIAO,{E} DA MAGISTRATURA FEDERAL DA A REGIAO DA SECAO JUDICIARIA DE MG; TRIBUNAL REGIONAL FEDERAL DA A REGIAO,0,0,
3378998327997426,4,1,CIENCIAS BIOLOGICAS,1,9,11,{UE} DE CAMPINAS; {UF} DE LAVRAS; {UF} DE OURO PRETO; LABORATORIO NACIONAL DE BIOCIENCIAS; {CU} DO SUL DE MINAS; {UF} DE JUIZ DE FORA,{UF} DE JUIZ DE FORA,0,0,576
3379099368507304,4,0,CIENCIAS DA SAUDE,1,28,5,{UF} DE SAO PAULO; {U} DE MOGI DAS CRUZES; REVISTA BRASILEIRA DE PSIQUIATRIA SAO PAULO IMPRESSO; CLINICAL SCHIZOPHRENIA AMP RELATED PSYCHOSES; PSYCHIATRY RESEARCH; SCHIZOPHRENIA BULLETIN; EARLY INTERVENTION IN PSYCHIATRY; ARCHIVES OF CLINICAL PSYCHIATRY,SCHIZOPHRENIA BULLETIN; EARLY INTERVENTION IN PSYCHIATRY,0,0,
3379103066131577,4,1,CIENCIAS HUMANAS,1,25,12,KINGS {COL} LONDON {U} LONDON; {UF} DO RIO DE JANEIRO; {U} GREENWICH,KINGS {COL} LONDON {U} LONDON,"@KINGS {COL} LONDON, {U} LONDON",GB,
3379132585614926,3,1,CIENCIAS HUMANAS,0,1,3,{U} NOTTINGHAM,,@{U} NOTTINGHAM,0,
3379147543215084,4,1,LINGUISTICA LETRAS E ARTES,1,24,14,{CU} CLARETIANO; {F} DE SERTAOZINHO; {E} VERA CRUZ; COLEGIO MARIA IMACULADA; COLEGIO SALESIANO SANTA TERESINHA; {E} MUNICIPAL DE EDUCACAO INFANTIL CORONEL ALEXANDRE GAMA; MINISTERIO DA EDUCACAO; {UE} PAULISTA JULIO DE MESQUITA FILHO; SALESIANOS SAO CARLOS; CLARETIANO BATATAIS; CAMINE CAMINHOS DA EDUCACAO; SINOPSE RESUMOS DE MONOGRAFIAS; A CAMINHO APELO A PESQUISA; SECRETARIA DE ESTADO DA EDUCACAO SAO PAULO; {U} VALE DO RIO VERDE DE TRES CORACOES; RECORTE UNINCOR; MEMENTO TRES CORACOES; {U} DE SAO PAULO; REVISTA DE INICIACAO CIENTIFICA DA {U} VALE DO RIO VERDE; {U} DE BRASILIA; REVISTA ELETRONICA CADERNOS CIMEAC; SIGNOTICA UFG; FUNDACAO DE APOIO A PESQUISA DO DISTRITO FEDERAL; PONTOS DE INTERROGACAO REVISTA DE CRITICA CULTURAL; FEB EDITORA; CERRADOS; CADERNOS CIMEAC,{UE} PAULISTA JULIO DE MESQUITA FILHO; FEB EDITORA; CERRADOS; CADERNOS CIMEAC; SIGNOTICA UFG,0,0,56
3379154738667856,4,0,CIENCIAS EXATAS E DA TERRA; ENGENHARIAS,1,5,4,{I} DE ESTUDOS SUPERIORES DA AMAZONIA; REVISTA DA SOCIEDADE BRASILEIRA DE TELECOMUNICACOES; {F} ESTACIO DE BELEM; CENTRO DE EDUCACAO E TREINAMENTO EM ENGENHARIA; AMAZON SERVICOS DE ENGENHARIA LTDA; INOVA TEC; ENGENHARIA DE COMPUTACAO EM REVISTA; SEMINARIOS EM TELECOMUNICACOES; {UF} DO PARA,INOVA TEC,0,0,18370
3379311795685098,3,1,LINGUISTICA LETRAS E ARTES,1,2,4,CENTRO EDUCACIONAL ARAPITANGA; GRUPO IN BUST TEATRO COM BONECOS; {UF} DO PARA; REVISTA ENSAIO GERAL,REVISTA ENSAIO GERAL,0,0,
3379314124750467,3,1,CIENCIAS HUMANAS; CIENCIAS BIOLOGICAS,0,17,15,{U} PARANAENSE; {U} UNINGA; HOSPITAL UNIVERSITARIO DE MARINGA; SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL; {UE} DE MARINGA; ARQUIMUDI; GRAFICA E EDITORA CLICHETEC LTDA; SAUDE E PESQUISA; EDUCERE REVISTA DE EDUCACAO DA UNIPAR,{UE} DE MARINGA,0,0,57
3379331214841768,4,0,OUTROS,1,9,6,DEPARTAMENTO DE AGUAS E ENERGIA ELETRICA DE SAO PAULO; {UE} DE MARINGA; {UF} DO PARANA; BIORESOURCE TECHNOLOGY REPORTS; ENVIRONMENTAL POLLUTION; JOURNAL OF WATER PROCESS ENGINEERING; BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY; KOREAN JOURNAL OF CHEMICAL ENGINEERING,{UF} DO PARANA,0,0,571
3379437436365867,4,1,LINGUISTICA LETRAS E ARTES,1,2,1,{UF} DO PARA; {UF} DO CEARA,,0,0,
3379459480976790,4,0,CIENCIAS EXATAS E DA TERRA; CIENCIAS DA SAUDE,1,163,26,{U} DE FRANCA; JOURNAL OF ETHNOPHARMACOLOGY; EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES; {U} MISSISSIPPI; BRAZILIAN JOURNAL OF MICROBIOLOGY IMPRESSO; BIOORGANIC AMP MEDICINAL CHEMISTRY LETTERS PRINT; ACS MED CHEM LETT; DATASET PAPERS IN PHARMACOLOGY; CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO; FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO; WELLCOME POSTDOCTORAL TRUST; MAYFEB BJOURNAL OF CHEMISTRY,MAYFEB BJOURNAL OF CHEMISTRY,@{U} MISSISSIPPI,0,
3379468007698237,4,1,CIENCIAS SOCIAIS APLICADAS; CIENCIAS DA SAUDE,1,9,6,{UF} DE MINAS GERAIS; EMVIDEO; COLEGIO SANTO ANTONIO; FEDERACAO MINEIRA DE TENIS DE MESA; PREFEITURA MUNICIPAL DE LAGOA SANTA SECRETARIA MUNICIPAL DE EDUCACAO; PREFEITURA MUNICIPAL DE CONGONHAS SECRETARIA MUNICIPAL DE EDUCACAO; PREFEITURA MUNICIPAL DE CONTAGEM; REVISTA PENSAR A PRATICA; LICERE CENTRO DE ESTUDOS DE LAZER E RECREACAO ONLINE; {IF} MINAS GERAIS; {CFET} DE MINAS GERAIS; RECORDE REVISTA DE HISTORIA DO ESPORTE; REVISTA DE ESTUDIOS BRASILENOS,LICERE CENTRO DE ESTUDOS DE LAZER E RECREACAO ONLINE,0,0,
3379479773566545,3,1,CIENCIAS HUMANAS,0,7,7,{U} POLITECNICA SALESIANA; PONTIFICIA {U} CATOLICA DEL ECUADOR; ALTERIDAD REVISTA DE CIENCIAS HUMANAS SOCIALES Y EDUCACION; {UF} DE MINAS GERAIS; COLEGIO SAN GABRIEL,{U} POLITECNICA SALESIANA,UNIVERSIDAD ,EC,21614;22097
3379491397147238,3,1,CIENCIAS AGRARIAS,1,10,4,{UE} DA BAHIA; {UF} DO RECONCAVO DA BAHIA,{UF} DO RECONCAVO DA BAHIA,0,0,4503
3379499427344725,3,1,CIENCIAS BIOLOGICAS,1,23,14,{UF} DO RIO GRANDE DO NORTE; {F} DE ENFERMAGEM NOVA ESPERANCA; {I} DE EDUCACAO SUPERIOR DA PARAIBA; UFRN; DRUG DELIVERY; ANNALS OF CLINICAL GASTROENTEROLOGY AND HEPATOLOGY; PLANT CELL BIOTECHNOLOGY AND MOLECULAR BIOLOGY; INTERNATIONAL JOURNAL OF BIOCHEMISTRY RESEARCH E REVIEW,DRUG DELIVERY; ANNALS OF CLINICAL GASTROENTEROLOGY AND HEPATOLOGY; PLANT CELL BIOTECHNOLOGY AND MOLECULAR BIOLOGY; INTERNATIONAL JOURNAL OF BIOCHEMISTRY RESEARCH E REVIEW,0,0,
3379521354576211,5,0,CIENCIAS EXATAS E DA TERRA; ENGENHARIAS,1,8,12,{UE} DO CEARA; {U} DE SAO PAULO; {E} DE ENSINO MEDIO PAULO BENEVIDES ESTADO DO CEARA; AGENCIA CLIMATEMPO; ACTA AMAZONICA IMPRESSO; {UE} DE CAMPINAS; {I} DE ASTRONOMIA GEOFISICA E CIENCIAS ATMOSFERICAS DA USP; {UF} DO RIO GRANDE DO NORTE; REVISTA BRASILEIRA DE METEOROLOGIA,{UF} DO RIO GRANDE DO NORTE; REVISTA BRASILEIRA DE METEOROLOGIA,0,0,570
3379545219837941,1,0,LINGUISTICA LETRAS E ARTES,0,3,12,{UE} PAULISTA JULIO DE MESQUITA FILHO,,0,0,
3379559464811687,5,1,CIENCIAS EXATAS E DA TERRA,0,3,7,CENTRO DE PESQUISAS E DESENVOLVIMENTO; {IF} DA BAHIA,{IF} DA BAHIA,0,0,599
3379567134906472,4,0,CIENCIAS BIOLOGICAS; CIENCIAS DA SAUDE,1,10,11,{U} BUENOS AIRES; {U} DE SAO PAULO; {UF} DE SAO PAULO; CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS; FUNDACION ANTORCHAS BUENOS AIRES; YALE {U},YALE {U},UNIVERSIDAD ,US,
3379575559292247,5,1,ENGENHARIAS,1,4,8,THE CANADIAN JOURNAL OF CHEMICAL ENGINEERING; JOURNAL OF APPLIED POLYMER SCIENCE ONLINE; O CONGRESSO BRASILEIRO DE POLIMEROS; COPENOR SA; MANA ENGINEERING AND CONSULTING SA; BRASKEM SA; LABORATORY OF POLYMER TECHNOLOGY LPT NTUA; COPPETEC FOUNDATION LMSCP LABORATORY; COORDINATION CHEMISTRY RESEARCH GROUP CHEMISTRY {I} UFBA,THE CANADIAN JOURNAL OF CHEMICAL ENGINEERING; JOURNAL OF APPLIED POLYMER SCIENCE ONLINE; O CONGRESSO BRASILEIRO DE POLIMEROS,0,0,
3379581138728878,5,1,CIENCIAS BIOLOGICAS,1,8,10,{U} DE MOGI DAS CRUZES; {U} DE SAO PAULO; OMNIS BIOTECNOLOGIA S AOB; DSMA DESENVOLVIMENTO SUSTENTAVEL E MONITORAMENTO AMBIENTAL,DSMA DESENVOLVIMENTO SUSTENTAVEL E MONITORAMENTO AMBIENTAL,0,0,
3379643225245078,3,0,LINGUISTICA LETRAS E ARTES,1,1,3,CONOCER SOLAMENTE ESPANOL; {U} CATOLICA DO SALVADOR; FISK; {UF} DE SERGIPE; COMMISSION DE LIMMIGRATION ET DU STATUT DE REFUGIE DU CANADA; RESEAU POUR UNE ALIMENTATION DURABLE; KEYWORDS STUDIOS; JORNAL CINFORM; CINFORM ONLINE; PORTAL INFONET; RADIO CANADA; TABLE DE QUARTIER DE PARC EXTENSION; CAMPANHA POLITICA PARA O SENADO; SERVICOS A CLIENTELA; {UF} DO PARA,{UF} DO PARA,0,0,569
3379658086475489,4,1,CIENCIAS BIOLOGICAS,1,18,13,{F} DE MEDICINA DE RIBEIRAO PRETO; {F} DE MEDICINA DE RIBEIRAO PRETO {U} DE SAO PAULO,{F} DE MEDICINA DE RIBEIRAO PRETO,0,0,
3379733313399254,5,0,,0,1,5,CENTRO NACIONAL PATAGONICO,,0,0,
3379736601483994,4,1,CIENCIAS SOCIAIS APLICADAS,1,3,1,{UF} DE PERNAMBUCO; {UF} DA PARAIBA,{UF} DA PARAIBA,0,0,579
3379802213206983,3,0,CIENCIAS DA SAUDE,1,33,11,SERVICO SOCIAL DO COMERCIO; {UF} DO RIO GRANDE DO NORTE; {UF} DE SANTA CATARINA; REVISTA BRASILEIRA DE ATIVIDADE FISICA E SAUDE; REVISTA BRASILEIRA DE CINEANTROPOMETRIA AMP DESEMPENHO HUMANO ONLINE; EUROPEAN JOURNAL OF CLINICAL NUTRITION; JOURNAL OF HUMAN NUTRITION AND DIETETICS; {CU} FACEX; {UF} DA PARAIBA; CIENCIA E SAUDE COLETIVA IMPRESSO; PLOS ONE,{UF} DA PARAIBA; REVISTA BRASILEIRA DE ATIVIDADE FISICA E SAUDE,0,0,579
3379813075624457,3,0,ENGENHARIAS,0,1,3,FUNDACAO GETULIO VARGAS SP; THOMSON LEGAL AMP REGULATORY LA IOB; ETEP {F}; LABORIS; CENTRO DE PESQUISAS AVANCADAS WERNHER VON BRAUN; GRUPO ABRIL SA; COMPSIS COMPUTADORES E SISTEMAS INDUSTRIA E COMERCIO; BRID LTDA; FUNDACAO DE APOIO A CAPACITACAO EM TECNOLOGIA E INFORMACAO; CENTRO DE PESQUISA E DESENVOLVIMENTO DA TELEBRAS SA,FUNDACAO DE APOIO A CAPACITACAO EM TECNOLOGIA E INFORMACAO,0,0,
3379815943910747,4,0,CIENCIAS DA SAUDE,0,48,15,FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS; HOSPITAL MATER DEI; ASSOCIACAO MEDICA DE MINAS GERAIS; SOCIEDADE MINEIRA DE NEUROCIRURGIA; HOSPITAL DAS CLINICAS DA {UF} DE MINAS GERAIS; SOCIEDADE BRASILEIRA DE NEUROCIRURGIA; GRUPO DE ESTUDOS EM NEUROLOGIA E NEUROCIRURGIA; ARQUIVOS DE NEURO PSIQUIATRIA X; REVISTA MEDICA DE MINAS GERAIS; HOSPITAL VERA CRUZ; THE LARYNGOSCOPE ST LOUIS; {IC} BIOLOGICAS DA UFMG; {F} DE MEDICINA DA UFMG; UNIMED BELO HORIZONTE COOPERATIVA DE TRABALHO MEDICO; CHILD S NERVOUS SYSTEM PRINT; AMERICAN ASSOCIATION OF NEUROLOGICAL SURGEONS; CONGRESS OF NEUROLOGICAL SURGEONS; JOURNAL OF THE NEUROLOGICAL SCIENCES; HOSPITAL VILA DA SERRA; SOCIEDADE BRASILEIRA DE NEUROCIRURGIA PEDIATRICA; MINISTERIO DA SAUDE; HOSPITAL LIFECENTER; INTERNATIONAL FEDERATION OF NEUROENDOSCOPY; ARCHIVES OF PEDIATRIC NEUROSURGERY,HOSPITAL LIFECENTER; ARCHIVES OF PEDIATRIC NEUROSURGERY,0,0,
3379829219706453,5,1,CIENCIAS EXATAS E DA TERRA,1,15,17,{UF} DO RIO GRANDE DO SUL; {U} SANTIAGO DE CHILE; {UF} DE SANTA CATARINA,{UF} DE SANTA CATARINA,UNIVERSIDAD ,0,585
3379889372608780,4,0,LINGUISTICA LETRAS E ARTES,1,1,2,{U} DE BRASILIA; CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO,0,0,
3379906315883988,3,0,CIENCIAS EXATAS E DA TERRA,1,9,9,{UF} DE UBERLANDIA; {U} DE UBERABA; {UF} DE SAO JOAO DEL REI; {UE} DE LONDRINA; CIENCIA E NATURA,CIENCIA E NATURA,0,0,
3379910047495005,4,1,CIENCIAS BIOLOGICAS; CIENCIAS HUMANAS,1,17,7,{UF} DO RIO GRANDE DO NORTE; {IF} DO PIAUI,{IF} DO PIAUI,0,0,1820
3379918620847838,3,0,CIENCIAS EXATAS E DA TERRA,1,4,3,ROCAS BRASIL MEIO AMBIENTE LTDA; BIODINAMICA ENGENHARIA E MEIO AMBIENTE; PALAEONTOLOGIA ELECTRONICA; {UF} DO RIO DE JANEIRO,PALAEONTOLOGIA ELECTRONICA,0,0,
3379948777583198,3,0,CIENCIAS AGRARIAS,1,85,11,{UF} DE MATO GROSSO; {U} DE SAO PAULO; SOCIEDADE BRASILEIRA PARA O PROGRESSO DA CIENCIA SAO PAULO; CENTRO DAS INDUSTRIAS DE CURTUMES DO BRASIL; CENTRO ACADEMICO DE VETERINARIA DA {UF} DE MATO GROSSO; ASSOCIACAO DOS CRIADORES DE SUINOS DE MATO GROSSO; ASSOCIACAO DOS CRIADORES DE AVESTRUZES DO BRASIL; PREFEITURA MUNICIPAL DE VARZEA GRANDE; FUNDACAO MEDICINA VETERINARIA; CIENCIA RURAL UFSM IMPRESSO; PROVET MEDICINA VETERINARIA DIAGNOSTICA; {U} DE SANTO AMARO; PARASITES AMP VECTORS; VECTOR BORNE AND ZOONOTIC DISEASES LARCHMONT NY; {F} ANCLIVEPA; JOURNAL OF TROPICAL MEDICINE; MEDICAL AND VETERINARY ENTOMOLOGY; JOURNAL OF ETHNOPHARMACOLOGY; TICKS AND TICK BORNE DISEASES; REVISTA BRASILEIRA DE CIENCIA VETERINARIA; INFECTIOUS DISEASES; REVISTA BRASILEIRA DE PARASITOLOGIA VETERINARIA; EXPERIMENTAL AND APPLIED ACAROLOGY ONLINE,EXPERIMENTAL AND APPLIED ACAROLOGY ONLINE,0,0,
3379977348826105,3,1,,1,9,9,PREFEITURA MUNICIPAL DE ALCANTIL; SECRETARIA DA EDUCACAO ESPORTE E CULTURA; {UF} DO MARANHAO,{UF} DO MARANHAO,0,0,548
3380005959124580,6,0,CIENCIAS EXATAS E DA TERRA,1,6,29,{UE} PAULISTA JULIO DE MESQUITA FILHO; REVISTA DE MATEMATICA E ESTATISTICA; MATHEMATICAL REVIEWS; {F} DE ENGENHARIA DA {U} DO PORTO,{F} DE ENGENHARIA DA {U} DO PORTO,0,0,19945
3380009049467052,4,1,CIENCIAS HUMANAS,1,4,8,{UF} DO CEARA; TRAJETOS UFC; PREFEITURA MUNICIPAL DE FORTALEZA; MOANGA; AMERINDIA; FUNDACAO DEMOCRITO ROCHA; SECRETARIA DE EDUCACAO DO ESTADO DO CEARA; {I} DOM JOSE DE EDUCACAO E CULTURA; EMBORNAL; {UE} DO CEARA,{UE} DO CEARA,0,0,29
3380085092532947,4,1,CIENCIAS BIOLOGICAS; CIENCIAS DA SAUDE,1,5,7,{UF} DE ALFENAS; {IF} DO SUL DE MINAS GERAIS; {U} DE SAO PAULO; {U} JOSE DO ROSARIO VELLANO; {FC} E TECNOLOGIAS DE CAMPOS GERAIS,{IF} DO SUL DE MINAS GERAIS; {FC} E TECNOLOGIAS DE CAMPOS GERAIS,0,0,4358;2428
3380104785130199,4,1,,0,66,20,CZECH GEOLOGICAL SURVEY,,0,0,
3380148109327292,4,0,ENGENHARIAS; CIENCIAS EXATAS E DA TERRA,1,1,4,IONICS KIEL; JOURNAL OF MEMBRANE SCIENCE PRINT,,0,0,
3380153722995551,4,0,CIENCIAS SOCIAIS APLICADAS,0,23,13,{UF} DE MINAS GERAIS; CENTRO DE ESTUDOS NA AREA JURIDICA FEDERAL E ESTADUAL; {F} DE DIREITO CONSELHEIRO LAFAIETE; CENTRO DE ENSINO SUPERIOR DE ITABIRA; {U} ESTACIO DE SA; {ES} DA PROCURADORIA GERAL DA FAZENDA NACIONAL; {I} DE EDUCACAO CONTINUADA PUCMINAS; {ES} DOM HELDER CAMARA; CENTRO DE ATUALIZACAO EM DIREITO; CURSO BMW; {ES} DE ADMINISTRACAO FAZENDARIA EM MINAS GERAIS; {F} MILTON CAMPOS; ASSOCIACAO BRASILEIRA DE DIREITO TRIBUTARIO; {CU} DE SETE LAGOAS; {I} BUSINESS GROUP; REVISTA DO CONGRESSO MINEIRO DE DIREITO TRIBUTARIO E FINANCEIRO; FORUM DE DIREITO TRIBUTARIO; {F} PADRE ARNALDO JANSSEN; {I} UNIVERSITARIO BRASILEIRO; {ES} DE ADVOCACIA DA ORDEM DOS ADVOGADOS SECAO MINAS GERAIS; GRUPO IBMEC; REVISTA DA DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS; UNIVERSITA DEGLI STUDI DI MESSINA,UNIVERSITA DEGLI STUDI DI MESSINA,UNIVERSITA ,UNIVERSITA ,
3380240439932303,4,1,CIENCIAS HUMANAS,1,10,20,{UF} DO RIO GRANDE DO SUL; {F} DE FILOSOFIA NS DA IMACULADA CONCEICAO; REVISTA ANOS ; TEMPO E ARGUMENTO; REVISTA CRITICA DE HISTORIA; ESTUDOS IBERO AMERICANOS; COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR,0,0,
3380244734764454,4,1,ENGENHARIAS,1,6,5,SODENGE ENGENHARIA E ARQUITETURA; {UF} DO RIO DE JANEIRO; UNIVERSITA DEGLI STUDI DI SALERNO; FUNDACAO COORDENACAO DE PROJETOS PESQUISAS E ESTUDOS TECNOLOGICOS; AMBIENTE CONSTRUIDO ONLINE; CONSTRUCTION AND BUILDING MATERIALS; KSCE JOURNAL OF CIVIL ENGINEERING,KSCE JOURNAL OF CIVIL ENGINEERING,UNIVERSITA ,0,
3380272257978515,5,0,CIENCIAS DA SAUDE,0,23,17,{UF} DO RIO DE JANEIRO; HOSPITAL UNIVERSITARIO PEDRO ERNESTO UERJ; {PUC} DO RIO DE JANEIRO; {I} DE PEDIATRIA E PUERICULTURA MARTAGAO GESTEIRA; SECRETARIA ESTADUAL DE SAUDE RJ; SECRETARIA MUNICIPAL DE SAUDE DE CABO FRIO; SECRETARIA MUNICIPAL DE SAUDE RJ; HOSPITAL UNIVERSITARIO CLEMENTINO FRAGA FILHO UFRJ; SINDICATO DOS PETROLEIROS RJ; MOUNT SINAI SCHOOL OF MEDICINE; {F} DE MEDICINA UFRJ; SOCIEDADE BRASILEIRA DE PNEUMOLOGIA E TISIOLOGIA; SOCIEDADE DE PNEUMOLOGIA E TISIOLOGIA DO EST RJ; CIENCIA E SAUDE COLETIVA IMPRESSO; MINISTERIO PUBLICO FEDERAL RJ; ASSOCIACAO MEDICA BRASILEIRA; CONSELHO FEDERAL DE MEDICINA; ALIANCA DE CONTROLE DO TABAGISMO DO BRASIL; JORNAL BRASILEIRO DE PNEUMOLOGIA IMPRESSO; CADERNOS DE SAUDE PUBLICA ENSP IMPRESSO; REVISTA BRASILEIRA DE CANCEROLOGIA; PSICOLOGIA TEORIA E PESQUISA UNB IMPRESSO; PHYSIS REVISTA DE SAUDE COLETIVA; {I} DE DOENCAS DO TORAX; HOSPITAL DAS CLINICAS DA {F} DE MEDICINA DA USP,PHYSIS REVISTA DE SAUDE COLETIVA,@MOUNT SINAI SCHOOL OF MEDICINE,0,
3380300231532979,3,1,CIENCIAS DA SAUDE,0,17,4,HOSPITAL ITACOLOMY; HOSPITAL SAO LUIZ DO MORUMBI; {I} DO CANCER DOUTOR ARNALDO VIEIRA DE CARVALHO; {U} NOVE DE JULHO; HOSPITAL NOVE DE JULHO; {U} NOVE DE JULHO COLEGIO TECNICO,{U} NOVE DE JULHO,0,0,316
3380363206385369,3,0,CIENCIAS HUMANAS,0,2,3,{I} DE TEOLOGIA SAO JOSE; {F} CATOLICA DE UBERLANDIA; {F} DE TEOLOGIA UMBANDISTA; {E} DIACONAL DOM JOAO GAZZA; {F} CATOLICA DE BELEM; {F} DE EDUCACAO E TECNOLOGIA DA AMAZONIA; SECRETARIA DE EDUCACAO DE ABAETETUBA PA,SECRETARIA DE EDUCACAO DE ABAETETUBA PA,0,0,
3380394823309100,4,0,ENGENHARIAS,0,1,4,EMPRESA DE ELETRICIDADE E AGUA,,0,0,
3380448126618343,2,0,,1,4,29,{F} DE ECONOMIA E ADMINISTRACAO DA USP; FUNDACAO {I} DE PESQUISAS ECONOMICAS; {I} DE PLANEJAMENTO DE GESTAO GOVERNAMENTAL; SECRETARIA DE PLANEJAMENTO; SECRETARIA DA FAZENDA DO ESTADO DO ESPIRITO SANTO; BANCO DO ESTADO DO ESPIRITO SANTO; MINISTERIO DA ECONOMIA FAZENDA E PLANEJAMENTO,SECRETARIA DA FAZENDA DO ESTADO DO ESPIRITO SANTO; BANCO DO ESTADO DO ESPIRITO SANTO,0,0,
3380449527780226,4,1,CIENCIAS AGRARIAS,0,30,15,{UF} RURAL DA AMAZONIA; MINERACAO RIO DO NORTE,{UF} RURAL DA AMAZONIA,0,0,590
3380467005770828,7,0,CIENCIAS HUMANAS,0,22,9,BABES BOLYAI {U}; PLOS ONE; QUATERNARY INTERNATIONAL; JOURNAL OF ARCHAEOLOGICAL SCIENCE; CERCUL DE ISTORIE VECHE SI ARHEOLOGIE; HUNGARIAN ACADEMY OF SCIENCES; {I} FOR CULTURAL MEMORY ROMANIA; MUSEUM OF DACIAN AND ROMAN CIVILISATION; {UF} DO PARANA; JOURNAL OF LITHIC STUDIES; ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS IMPRESSO; ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS ONLINE; ARQUEOLOGIA; COMPUTER APPLICATIONS AMP QUANTITATIVE METHODS IN ARCHAEOLOGY BRAZIL CHAPTER; INTERNATIONAL SYMPOSIUM ON KNAPPABLE MATERIALS INTERNATIONAL COMMITTEE,ARQUEOLOGIA; COMPUTER APPLICATIONS AMP QUANTITATIVE METHODS IN ARCHAEOLOGY BRAZIL CHAPTER,0,0,
3380482010783991,3,1,CIENCIAS DA SAUDE; ENGENHARIAS; CIENCIAS BIOLOGICAS,0,9,7,{UF} DO PIAUI; POLICIA MILITAR DO PIAUI; {CU} SANTO AGOSTINHO; REVISTA PIAUIENSE DE SAUDE; ASSOCIACAO BRASILEIRA DE CIRURGIOES DENTISTAS SECCAO PIAUI; REVISTA SAUDE EM FOCO; ASSOCIACAO PIAUIENSE DE CCOMBATE AO CANCER; GESTAO AMP SOCIEDADE REVISTA DE POS GRADUACAO DA UNIABEU; HOSPITAL DIRCEU ARCOVERDE DA POLICIA MILITAR DO PIAUI,HOSPITAL DIRCEU ARCOVERDE DA POLICIA MILITAR DO PIAUI,0,0,
3380512114379704,4,0,ENGENHARIAS,1,5,20,{UE} DE PONTA GROSSA; REVISTA CONEXAO UEPG; PUBLICATIO UEPG CIENCIAS EXATAS E DA TERRA CIENCIAS AGRARIAS E ENGENHARIA,,0,0,
3380578248358534,4,1,CIENCIAS AGRARIAS,1,18,5,{UF} DE VICOSA; {UE} PAULISTA JULIO DE MESQUITA FILHO; {F} DE ENSINO SUPERIOR E FORMACAO INTEGRAL; COOPERATIVA AGROINDUSTRIAL,{F} DE ENSINO SUPERIOR E FORMACAO INTEGRAL; COOPERATIVA AGROINDUSTRIAL,0,0,1307
